X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpxx_WaypointExtension
101.255587041,0.93738704,40.982,,,,B-E-150M-OPedg,B-E-150M-OPedg,B-E-150M-OPedg,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255743029,0.937488964,40.982,,,,B-E-150M-OPEve,B-E-150M-OPEve,B-E-150M-OPEve,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255628029,0.939234998,40.982,,,,B-E-350M-BCv 1,B-E-350M-BCv 1,B-E-350M-BCv 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255812012,0.939166015,40.501,,,,B-E-350M-BCv 2,B-E-350M-BCv 2,B-E-350M-BCv 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255909996,0.939371958,40.261,,,,B-E-350M-BCv 3,B-E-350M-BCv 3,B-E-350M-BCv 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255715033,0.939460974,41.462,,,,B-E-350M-BCveg,B-E-350M-BCveg,B-E-350M-BCveg,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255956013,0.939224018,39.54,,,,B-E-350M-Buf 1,B-E-350M-Buf 1,B-E-350M-Buf 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255737999,0.939265005,41.222,,,,B-E-350M-Buffe,B-E-350M-Buffe,B-E-350M-Buffe,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.256922027,0.938804001,44.346,,,,B-E-350M-OPC 1,B-E-350M-OPC 1,B-E-350M-OPC 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.257119002,0.938639967,52.517,,,,B-E-350M-OPC 2,B-E-350M-OPC 2,B-E-350M-OPC 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.257281024,0.93886896,55.642,,,,B-E-350M-OPC 3,B-E-350M-OPC 3,B-E-350M-OPC 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.25709,0.938808024,46.029,,,,B-E-350M-OPcor,B-E-350M-OPcor,B-E-350M-OPcor,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.257038033,0.93900701,47.711,,,,B-E-350M-OPCve,B-E-350M-OPCve,B-E-350M-OPCve,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.25613899,0.939230975,40.982,,,,B-E-350M-OPE 1,B-E-350M-OPE 1,B-E-350M-OPE 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.256357003,0.939117987,45.067,,,,B-E-350M-OPE 2,B-E-350M-OPE 2,B-E-350M-OPE 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.256260024,0.938952025,44.346,,,,B-E-350M-OPE 3,B-E-350M-OPE 3,B-E-350M-OPE 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.256196992,0.939069036,40.982,,,,B-E-350M-OPedg,B-E-350M-OPedg,B-E-350M-OPedg,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.256047962,0.93897298,41.222,,,,B-E-350M-OPEve,B-E-350M-OPEve,B-E-350M-OPEve,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255121008,0.93878204,43.865,,,,B-W-250M-BCv 1,B-W-250M-BCv 1,B-W-250M-BCv 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254851026,0.93869797,42.664,,,,B-W-250M-BCv 2,B-W-250M-BCv 2,B-W-250M-BCv 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254913975,0.938883964,42.183,,,,B-W-250M-BCv 3,B-W-250M-BCv 3,B-W-250M-BCv 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255035009,0.938565033,43.145,,,,B-W-250M-BCveg,B-W-250M-BCveg,B-W-250M-BCveg,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254757987,0.938883964,36.656,,,,B-W-250M-Buf 1,B-W-250M-Buf 1,B-W-250M-Buf 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.25496896,0.938732,43.385,,,,B-W-250M-Buffe,B-W-250M-Buffe,B-W-250M-Buffe,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.25403597,0.939517971,42.664,,,,B-W-250M-OPC 1,B-W-250M-OPC 1,B-W-250M-OPC 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.253770012,0.939404983,44.587,,,,B-W-250M-OPC 2,B-W-250M-OPC 2,B-W-250M-OPC 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.253832961,0.939604975,44.827,,,,B-W-250M-OPC 3,B-W-250M-OPC 3,B-W-250M-OPC 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.253856765,0.939437253,,,,,B-W-250m-OPcor,B-W-250m-OPcor,B-W-250m-OPcor,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.253912002,0.939267017,43.625,,,,B-W-250M-OPCve,B-W-250M-OPCve,B-W-250M-OPCve,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254719011,0.939015979,39.299,,,,B-W-250M-OPE 1,B-W-250M-OPE 1,B-W-250M-OPE 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254448025,0.938938027,41.222,,,,B-W-250M-OPE 2,B-W-250M-OPE 2,B-W-250M-OPE 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254522037,0.939114969,40.02,,,,B-W-250M-OPE 3,B-W-250M-OPE 3,B-W-250M-OPE 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.25457501,0.938959988,37.857,,,,B-W-250M-OPedg,B-W-250M-OPedg,B-W-250M-OPedg,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
