X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
101.279112864,0.948848119,"2","0","4",52.049,2016/11/14 05:26:28+00,,,,,,,,,,,,,,,,,,,,,
101.278990656,0.948867146,"2","0","5",51.568,2016/11/14 05:26:38+00,,,,,,,,,,,,,,,,,,,,,
101.278896863,0.948881144,"2","0","6",43.877,2016/11/14 05:26:55+00,,,,,,,,,,,,,,,,,,,,,
101.278896611,0.948881395,"2","0","7",45.8,2016/11/14 05:26:56+00,,,,,,,,,,,,,,,,,,,,,
101.278895019,0.948880389,"2","0","8",44.839,2016/11/14 05:27:00+00,,,,,,,,,,,,,,,,,,,,,
101.278895019,0.948880473,"2","0","9",47.723,2016/11/14 05:27:02+00,,,,,,,,,,,,,,,,,,,,,
101.278894851,0.948880306,"2","0","10",52.529,2016/11/14 05:27:03+00,,,,,,,,,,,,,,,,,,,,,
101.278894851,0.948880138,"2","0","11",46.281,2016/11/14 05:27:04+00,,,,,,,,,,,,,,,,,,,,,
101.278894767,0.94887997,"2","0","12",46.281,2016/11/14 05:27:05+00,,,,,,,,,,,,,,,,,,,,,
101.278894767,0.94887997,"2","0","13",49.645,2016/11/14 05:27:06+00,,,,,,,,,,,,,,,,,,,,,
101.278894516,0.948880054,"2","0","14",52.049,2016/11/14 05:27:08+00,,,,,,,,,,,,,,,,,,,,,
101.278871885,0.948848873,"2","0","15",51.087,2016/11/14 05:27:22+00,,,,,,,,,,,,,,,,,,,,,
101.278886888,0.948836384,"2","0","16",51.568,2016/11/14 05:27:49+00,,,,,,,,,,,,,,,,,,,,,
101.278843135,0.948843593,"2","0","17",51.087,2016/11/14 05:28:09+00,,,,,,,,,,,,,,,,,,,,,
101.281658197,0.952034667,"3","0","0",51.568,2016/11/14 05:21:42+00,,,,,,,,,,,,,,,,,,,,,
101.281658113,0.952033997,"3","0","1",54.452,2016/11/14 05:21:45+00,,,,,,,,,,,,,,,,,,,,,
101.281642774,0.951972306,"3","0","2",54.452,2016/11/14 05:22:15+00,,,,,,,,,,,,,,,,,,,,,
101.281629279,0.951645663,"3","0","3",55.413,2016/11/14 05:22:34+00,,,,,,,,,,,,,,,,,,,,,
101.281553255,0.951206954,"3","0","4",55.413,2016/11/14 05:22:43+00,,,,,,,,,,,,,,,,,,,,,
101.281484272,0.950797079,"3","0","5",55.413,2016/11/14 05:22:51+00,,,,,,,,,,,,,,,,,,,,,
101.281433394,0.950416792,"3","0","6",53.49,2016/11/14 05:23:02+00,,,,,,,,,,,,,,,,,,,,,
101.281418474,0.950448057,"3","0","7",53.49,2016/11/14 05:23:06+00,,,,,,,,,,,,,,,,,,,,,
101.281398274,0.950426515,"3","0","8",55.413,2016/11/14 05:23:22+00,,,,,,,,,,,,,,,,,,,,,
101.281398023,0.950425928,"3","0","9",53.971,2016/11/14 05:23:24+00,,,,,,,,,,,,,,,,,,,,,
101.281396598,0.950424168,"3","0","10",54.932,2016/11/14 05:23:31+00,,,,,,,,,,,,,,,,,,,,,
101.281394837,0.950421318,"3","0","11",53.971,2016/11/14 05:23:40+00,,,,,,,,,,,,,,,,,,,,,
101.281383773,0.950348899,"3","0","12",53.971,2016/11/14 05:23:45+00,,,,,,,,,,,,,,,,,,,,,
