timepoint,date,river,treatment,point,replicate,rainfall.mm,water+total.K.K2O.g,soil.C,soil.K.K2O,soil.N.NO3.NH4,soil.P.P2O5,water+total.N.NO3.NH4,water+total.P.P2O5,water+total.K.K2O.g
baseline,15/01/2018,PLPE,D,OP.edge,1,0.2,0,0,0,0,0,0,0,0
baseline,15/01/2018,PLPE,D,OP.edge,2,0.2,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,A,buffer.core,1,0.4,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,A,buffer.core,2,0.4,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,A,OP.edge,1,0.4,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,A,OP.edge,2,0.4,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,B,buffer.core,1,0.4,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,B,buffer.core,2,0.4,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,B,OP.edge,1,0.4,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,B,OP.edge,2,0.4,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,C,buffer.core,1,0.4,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,C,buffer.core,2,0.4,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,C,OP.edge,1,0.4,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,C,OP.edge,2,0.4,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,D,buffer.core,1,0.4,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,D,buffer.core,2,0.4,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,D,OP.edge,1,0.4,0,0,0,0,0,0,0,0
baseline,16/01/2018,PLPE,D,OP.edge,2,0.4,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,A,buffer.core,1,0,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,A,buffer.core,2,0,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,A,OP.edge,1,0,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,A,OP.edge,2,0,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,B,buffer.core,1,0,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,B,buffer.core,2,0,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,B,OP.edge,1,0,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,B,OP.edge,2,0,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,C,buffer.core,1,0,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,C,buffer.core,2,0,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,C,OP.edge,1,0,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,C,OP.edge,2,0,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,D,buffer.core,1,0,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,D,buffer.core,2,0,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,D,OP.edge,1,0,0,0,0,0,0,0,0,0
baseline,17/01/2018,PLPE,D,OP.edge,2,0,0,0,0,0,0,0,0,0
baseline,18/01/2018,PLPE,A,buffer.core,1,2.2,0,0,0,0,0,0,0,0
