timepoint,date.collected,river,treatment,side,transect,point,og.site.label,time.collected,wet.weight.g,dry.weight.g,date.measured,notes,measurer,typist,date.typed,Checked by?,Date checked?
post2,06/01/2022,PLPE,B,West,400m,buffer.core,B-W-400-BC,,654,121,21/01/2022,Evaporation control,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,B,East,400m,OP.core,B-East-400m-OpCore,17:46,610,106,08/12/2017,Evaporation control,Rohman,Tantri,09/10/2018,,
post1,06/12/2019,PLPE,B,West,400m,OP.core,B-W-400-OPC,10:37,598,148,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,06/01/2022,PLPE,B,West,400m,OP.core,B-W-400-OPC,,663,120,21/01/2022,Evaporation control,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,B,East,400m,OP.edge,B-East-400m-OpEdge,17:32,639,106,08/12/2017,Evaporation control,Rohman,Tantri,09/10/2018,,
post1,06/12/2019,PLPE,B,West,400m,OP.edge,B-W-400-OPE,10:32,605,104,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,06/01/2022,PLPE,B,West,400m,OP.edge,B-W-400-OPE,,605,105,21/01/2022,Evaporation control,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,B,West,50m,buffer.core,B-West-50m-BufferCore,16:29,47,17,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,12/12/2019,PLPE,B,West,50m,buffer.core,B-W-50-BC,10:12,351,88,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,13/01/2022,PLPE,B,West,50m,buffer.core,B-W-50-BC,,600,113,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,B,West,50m,OP.core,B-West-50m-OpCore,09:22,162,43,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,12/12/2019,PLPE,B,West,50m,OP.core,B-W-50-OPC,09:35,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,13/01/2022,PLPE,B,West,50m,OP.core,B-W-50-OPC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,B,West,50m,OP.edge,B-West-50m-OpEdge,16:35,555,103,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,12/12/2019,PLPE,B,West,50m,OP.edge,B-W-50-OPE,10:21,465,129,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,13/01/2022,PLPE,B,West,50m,OP.edge,B-W-50-OPE,,558,103,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,C,East,150m,buffer.core,C-East-150m-BufferCore,16:32,293,90,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,12/12/2019,PLPE,C,East,150m,buffer.core,C-E-150-BC,11:31,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,05/01/2022,PLPE,C,East,150m,buffer.core,C-E-150-BC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,C,East,150m,OP.core,C-East-150m-OpCore,16:42,45,17,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,12/12/2019,PLPE,C,East,150m,OP.core,C-E-150-OPC,11:47,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,05/01/2022,PLPE,C,East,150m,OP.core,C-E-150-OPC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,C,East,150m,OP.edge,C-East-150m-OpEdge,16:36,78,32,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,12/12/2019,PLPE,C,East,150m,OP.edge,C-E-150-OPE,11:38,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,05/01/2022,PLPE,C,East,150m,OP.edge,C-E-150-OPE,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,C,West,250m,buffer.core,C-West-250m-BufferCore,12:30,104,32,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,06/12/2019,PLPE,C,West,250m,buffer.core,C-W-250-BC,09:16,390,81,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,13/01/2022,PLPE,C,West,250m,buffer.core,C-W-250-BC,,222,43,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,C,West,250m,OP.core,C-West-250m-OpCore,09:45,na,na,08/12/2017,gone,Rohman,Tantri,09/10/2018,,
post1,06/12/2019,PLPE,C,West,250m,OP.core,C-W-250-OPC,09:25,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
baseline,07/12/2017,PLPE,C,West,250m,OP.edge,C-West-250m-OpEdge,12:42,321,94,08/12/2017,,Rohman,Tantri,09/10/2018,,
